¥éËRow_Number,UserID_anon,EventID_anon,SessionID_anon,Module,ProblemID,AttemptAtProblem,Result,Skill_0001,Skill_0002,Skill_0003,Skill_0004,Skill_0005,Skill_0006,Skill_0007,Skill_0008
1,1000001,2003032,3000045,Arithmetic Part I,arithmetic_terms_digtq1_i1,1,INCORRECT,terminology_digits_digits, , , , , , , 
2,1000001,2007065,3000045,Arithmetic Part I,arithmetic_terms_digtq1_i1,2,INCORRECT,terminology_digits_digits, , , , , , , 
3,1000001,2002614,3000045,Arithmetic Part I,arithmetic_terms_digtq1_i1,3,INCORRECT,terminology_digits_digits, , , , , , , 
4,1000001,2004829,3000045,Arithmetic Part I,arithmetic_terms_digtq1_i1,4,CORRECT,terminology_digits_digits, , , , , , , 
5,1000001,2004676,3000045,Arithmetic Part I,arithmetic_terms_digtq2_i1,1,CORRECT,terminology_digits_integers, , , , , , , 
6,1000001,2001707,3000045,Arithmetic Part I,arithmetic_terms_digtq3_i1,1,INCORRECT,terminology_express_identify_place_value, , , , , , , 
7,1000001,2001635,3000045,Arithmetic Part I,arithmetic_terms_digtq3_i1,2,CORRECT,terminology_express_identify_place_value, , , , , , , 
8,1000001,2018235,3000045,Arithmetic Part I,arithmetic_terms_digtq4_i1,1,CORRECT,terminology_express_identify_place_value, , , , , , , 
9,1000001,2003103,3000045,Arithmetic Part I,arithmetic_terms_digtq5_i1,1,CORRECT,terminology_express_write, , , , , , , 
10,1000001,2015488,3000152,Measuring Systems,measurement_area_lbd2q1_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
11,1000001,2000546,3000152,Measuring Systems,measurement_perimeter_lbdq1_i1,1,INCORRECT,measurements_area_substitute, , , , , , , 
12,1000001,2008802,3000152,Measuring Systems,measurement_perimeter_lbdq1_i1,2,CORRECT,measurements_area_substitute, , , , , , , 
13,1000001,2018585,3000152,Measuring Systems,measurement_perimeter_lbdq2_i1,1,CORRECT,measurements_area_perimeter, , , , , , , 
14,1000001,2001788,3000152,Measuring Systems,measurement_area_digtq1_i1,1,INCORRECT,measurements_area_area,measurements_area_substitute, , , , , , 
15,1000001,2010660,3000152,Measuring Systems,measurement_area_digtq1_i1,2,INCORRECT,measurements_area_area,measurements_area_substitute, , , , , , 
16,1000001,2010544,3000152,Measuring Systems,measurement_area_digtq1_i1,3,CORRECT,measurements_area_area,measurements_area_substitute, , , , , , 
17,1000001,2013744,3000152,Measuring Systems,measurement_area_digtq3_i1,1,CORRECT,measurements_area_perimeter,measurements_area_substitute, , , , , , 
18,1000001,2001348,3000152,Measuring Systems,measurement_length_lbdq1_i1,1,CORRECT,measurements_tools_distance, , , , , , , 
19,1000001,2004237,3000152,Measuring Systems,measurement_length_lbdq2_i1,1,CORRECT,measurements_identify_un_distance, , , , , , , 
20,1000001,2013625,3000152,Measuring Systems,measurement_weight_lbdq1_i1,1,CORRECT,measurements_tools_weight, , , , , , , 
21,1000001,2003868,3000152,Measuring Systems,measurement_weight_lbdq2_i1,1,INCORRECT,measurements_identify_un_weight, , , , , , , 
22,1000001,2008618,3000152,Measuring Systems,measurement_temp_lbdq1_i1,1,CORRECT,measurements_tools_temperature, , , , , , , 
23,1000001,2008598,3000152,Measuring Systems,dynadrop_assessment_tools_unitsq1_clock,1,CORRECT,measurements_tools_time,measurements_types_weight, , , , , , 
24,1000001,2002455,3000152,Measuring Systems,dynadrop_assessment_tools_unitsq1_thermo,1,CORRECT,measurements_tools_time,measurements_types_weight, , , , , , 
25,1000001,2012942,3000152,Measuring Systems,dynadrop_assessment_tools_unitsq1_scale,1,CORRECT,measurements_tools_time,measurements_types_weight, , , , , , 
26,1000001,2000761,3000152,Measuring Systems,dynadrop_assessment_tools_unitsq1_yard_stick,1,CORRECT,measurements_identify_un_distance,measurements_identify_un_temperature,measurements_identify_un_time,measurements_identify_un_weight,measurements_tools_distance,measurements_tools_temperature,measurements_tools_time,measurements_tools_weight
27,1000001,2001303,3000152,Measuring Systems,measurement_volume_digtq1_i1,1,CORRECT,measurements_volume_units, , , , , , , 
28,1000001,2003178,3000152,Measuring Systems,measurement_volume_digtq2_i1,1,INCORRECT,measurements_area_substitute,measurements_volume_volume, , , , , , 
29,1000001,2005441,3000152,Measuring Systems,measurement_volume_digtq2_i1,2,CORRECT,measurements_area_substitute,measurements_volume_volume, , , , , , 
30,1000001,2014019,3000152,Measuring Systems,measurement_volume_digtq3_i1,1,CORRECT,measurements_area_substitute,measurements_volume_volume, , , , , , 
31,1000001,2010159,3000179,Measuring Systems,measurement_weight_lbdq2_i1,1,CORRECT,measurements_identify_un_weight, , , , , , , 
32,1000001,2020013,3000179,Measuring Systems,measurement_temp_lbdq1_i1,1,CORRECT,measurements_tools_temperature, , , , , , , 
33,1000001,2002400,3000179,Measuring Systems,measurement_perimeter_lbdq2_i1,1,INCORRECT,measurements_area_perimeter, , , , , , , 
34,1000001,2005657,3000179,Measuring Systems,measurement_perimeter_lbdq2_i1,2,CORRECT,measurements_area_perimeter, , , , , , , 
35,1000001,2003919,3000179,Measuring Systems,english_conversion_lbdq1_i1,1,CORRECT,measurements_english_conv_units, , , , , , , 
36,1000001,2014570,3000179,Measuring Systems,measurement_conv_english_lbdq1_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
37,1000001,2004118,3000179,Measuring Systems,measurement_conv_english_lbdq3_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
38,1000001,2004349,3000179,Measuring Systems,measurement_conv_english_lbdq5_i1,1,INCORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
39,1000001,2017729,3000179,Measuring Systems,measurement_conv_english_lbdq5_i1,2,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
40,1000001,2014819,3000179,Measuring Systems,measurement_english_conv_digtq1_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
41,1000001,2017175,3000179,Measuring Systems,measurement_english_conv_digtq2_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
42,1000001,2017384,3000179,Measuring Systems,measurement_english_conv_digtq3_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_conv_units, , , , , , 
43,1000001,2014720,3000179,Measuring Systems,dynadrop_assessment_metricq1_liter,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
44,1000001,2012402,3000179,Measuring Systems,dynadrop_assessment_metricq1_volume2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
45,1000001,2005853,3000179,Measuring Systems,dynadrop_assessment_metricq1_ths2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
46,1000001,2002545,3000179,Measuring Systems,dynadrop_assessment_metricq1_liter,2,CORRECT,measurements_metric_conv_measurements, , , , , , , 
47,1000001,2017106,3000179,Measuring Systems,dynadrop_assessment_metricq1_second,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
48,1000001,2003108,3000179,Measuring Systems,dynadrop_assessment_metricq1_distance2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
49,1000001,2016379,3000179,Measuring Systems,dynadrop_assessment_metricq1_ths1,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
50,1000001,2002940,3000179,Measuring Systems,dynadrop_assessment_metricq1_meter2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
51,1000001,2003602,3000179,Measuring Systems,dynadrop_assessment_metricq1_thsnd,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
52,1000001,2003761,3000179,Measuring Systems,dynadrop_assessment_metricq1_gram1,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
53,1000001,2011207,3000179,Measuring Systems,dynadrop_assessment_metricq1_tenth2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
54,1000001,2016699,3000179,Measuring Systems,dynadrop_assessment_metricq1_gram2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
55,1000001,2002202,3000179,Measuring Systems,dynadrop_assessment_metricq1_distance1,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
56,1000001,2006317,3000179,Measuring Systems,dynadrop_assessment_metricq1_m3,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
57,1000001,2011430,3000179,Measuring Systems,dynadrop_assessment_metricq1_weight2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
58,1000001,2016229,3000179,Measuring Systems,dynadrop_assessment_metricq1_ths1,2,CORRECT,measurements_metric_conv_measurements, , , , , , , 
59,1000001,2008450,3000179,Measuring Systems,dynadrop_assessment_metricq1_weight1,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
60,1000001,2016785,3000179,Measuring Systems,dynadrop_assessment_metricq1_meter1,1,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
61,1000001,2008982,3000179,Measuring Systems,dynadrop_assessment_metricq1_hths1,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
62,1000001,2015690,3000179,Measuring Systems,dynadrop_assessment_metricq1_time,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
63,1000001,2017773,3000179,Measuring Systems,dynadrop_assessment_metricq1_hths2,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
64,1000001,2008892,3000179,Measuring Systems,dynadrop_assessment_metricq1_second,2,CORRECT,measurements_metric_conv_measurements, , , , , , , 
65,1000001,2012856,3000179,Measuring Systems,dynadrop_assessment_metricq1_meter1,2,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
66,1000001,2008204,3000179,Measuring Systems,dynadrop_assessment_metricq1_m3,2,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
67,1000001,2000994,3000179,Measuring Systems,dynadrop_assessment_metricq1_distance1,2,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
68,1000001,2012985,3000179,Measuring Systems,dynadrop_assessment_metricq1_weight1,2,CORRECT,measurements_metric_conv_measurements, , , , , , , 
69,1000001,2011616,3000179,Measuring Systems,dynadrop_assessment_metricq1_m3,3,INCORRECT,measurements_metric_conv_measurements, , , , , , , 
70,1000001,2016985,3000179,Measuring Systems,dynadrop_assessment_metricq1_distance1,3,CORRECT,measurements_metric_conv_measurements, , , , , , , 
71,1000001,2019566,3000179,Measuring Systems,dynadrop_assessment_metricq1_volume1,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
72,1000001,2000587,3000179,Measuring Systems,dynadrop_assessment_metricq1_tenth1,1,CORRECT,measurements_metric_conv_measurements, , , , , , , 
73,1000001,2005104,3000179,Measuring Systems,dynadrop_assessment_metricq1_m3,4,CORRECT,measurements_metric_conv_measurements, , , , , , , 
74,1000001,2003856,3000179,Measuring Systems,dynadrop_assessment_metricq1_gram1,2,CORRECT,measurements_metric_conv_measurements, , , , , , , 
75,1000001,2001055,3000179,Measuring Systems,dynadrop_assessment_metricq1_meter1,3,CORRECT,measurements_metric_conv_measurements, , , , , , , 
76,1000001,2000885,3000179,Measuring Systems,measurement_met_met_lbdq1_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
77,1000001,2003911,3000179,Measuring Systems,measurement_met_met_lbdq2_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
78,1000001,2016067,3000179,Measuring Systems,measurement_met_met_lbdq3_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
79,1000001,2017100,3000179,Measuring Systems,measurement_met_met_digtq1_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
80,1000001,2017141,3000179,Measuring Systems,measurement_met_met_digtq2_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
81,1000001,2013230,3000179,Measuring Systems,measurement_met_met_digtq3_i1,1,CORRECT,measurements_metric_conv_prefixes,measurements_metric_conv_steps, , , , , , 
82,1000001,2007382,3000186,Measuring Systems,metric_conversion_lbdq1_i1,1,INCORRECT,measurements_english_conv_units, , , , , , , 
83,1000001,2011976,3000186,Measuring Systems,metric_conversion_lbdq1_i1,2,CORRECT,measurements_english_conv_units, , , , , , , 
84,1000001,2018396,3000186,Measuring Systems,metric_conversion2_lbdq1_i1,1,CORRECT,measurements_english_conv_units, , , , , , , 
85,1000001,2004409,3000186,Measuring Systems,measurement_conv_metric_lbdq1_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
86,1000001,2014300,3000186,Measuring Systems,measurement_english_met_digt2q1_i1,1,INCORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
87,1000001,2011871,3000186,Measuring Systems,measurement_english_met_digt2q1_i1,2,INCORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
88,1000001,2006735,3000186,Measuring Systems,measurement_english_met_digt2q1_i1,3,CORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
89,1000001,2018161,3000186,Measuring Systems,measurement_conv_metric_lbdq2_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
90,1000001,2000403,3000186,Measuring Systems,measurement_english_met_digt2q2_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
91,1000001,2000326,3000186,Measuring Systems,measurement_english_met_digt2q3_i1,1,CORRECT,measurements_english_conv_DA,measurements_english_metric_units, , , , , , 
92,1000001,2004533,3000186,Measuring Systems,PSC_execute_plan_bobq1_q2numeric,1,INCORRECT,measurements_english_conv_DA,measurements_english_metric_units,problem_solve_carry_out_plan, , , , , 
93,1000001,2014044,3000209,Algebraic Laws,measure_alg_exponent_lbdq1_i1,1,CORRECT,measurements_algebra_sphere_exp, , , , , , , 
94,1000001,2010500,3000209,Algebraic Laws,measure_alg_exponent_lbdq2_i1,1,CORRECT,measurements_algebra_sphere_exp, , , , , , , 
95,1000001,2006974,3000209,Algebraic Laws,measure_alg_exponent_lbdq3_i1,1,CORRECT,measurements_area_area,measurements_area_substitute, , , , , , 
96,1000001,2018776,3000209,Algebraic Laws,measure_alg_order_lbdq1_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
97,1000001,2013436,3000209,Algebraic Laws,measure_alg_order_lbdq2_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
98,1000001,2014559,3000209,Algebraic Laws,measure_alg_sphere_lbdq1_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
99,1000001,2009088,3000209,Algebraic Laws,measure_alg_sphere_lbdq2_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
100,1000001,2003241,3000209,Algebraic Laws,measurements_algebra_sphere_expq1_i1,1,INCORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
